Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeWin,home_avg_for,home_avg_against,home_winrate,away_avg_for,away_avg_against,away_winrate
2022-10-19,Liverpool,West Ham,1,0,H,1,2.4468085106382977,0.8085106382978723,0.6595744680851063,1.4375,1.2916666666666667,0.3958333333333333
2022-10-19,Newcastle,Everton,1,0,H,1,1.2708333333333333,1.4791666666666667,0.3333333333333333,1.0625,1.6041666666666667,0.2708333333333333
2022-10-19,Man United,Tottenham,2,0,H,1,1.4893617021276595,1.5319148936170213,0.44680851063829785,1.8958333333333333,1.0416666666666667,0.6041666666666666
2022-10-20,Fulham,Aston Villa,3,0,H,1,1.6,2.0,0.3,1.2291666666666667,1.3958333333333333,0.3125
2022-10-20,Leicester,Leeds,2,0,H,1,1.6041666666666667,1.7291666666666667,0.3125,1.127659574468085,1.9574468085106382,0.23404255319148937
2022-10-22,Nott'm Forest,Liverpool,1,0,H,1,0.6363636363636364,2.090909090909091,0.09090909090909091,2.4166666666666665,0.7916666666666666,0.6666666666666666
2022-10-22,Everton,Crystal Palace,3,0,H,1,1.0408163265306123,1.5918367346938775,0.2653061224489796,1.2916666666666667,1.2291666666666667,0.2916666666666667
2022-10-22,Man City,Brighton,3,1,H,1,2.75,0.75,0.75,1.1666666666666667,1.1458333333333333,0.3333333333333333
2022-10-22,Chelsea,Man United,1,1,D,0,1.8958333333333333,0.8958333333333334,0.5625,1.5,1.5,0.4583333333333333
2022-10-23,Aston Villa,Brentford,4,0,H,1,1.2040816326530612,1.4285714285714286,0.30612244897959184,1.346938775510204,1.489795918367347,0.32653061224489793
2022-10-23,Leeds,Fulham,2,3,A,0,1.1041666666666667,1.9583333333333333,0.22916666666666666,1.7272727272727273,1.8181818181818181,0.36363636363636365
2022-10-23,Southampton,Arsenal,1,1,D,0,1.0816326530612246,1.7346938775510203,0.24489795918367346,1.7708333333333333,1.2083333333333333,0.6458333333333334
2022-10-23,Wolves,Leicester,0,4,A,0,0.8775510204081632,1.163265306122449,0.3469387755102041,1.6122448979591837,1.6938775510204083,0.32653061224489793
2022-10-23,Tottenham,Newcastle,1,2,A,0,1.8571428571428572,1.0612244897959184,0.5918367346938775,1.2653061224489797,1.4489795918367347,0.3469387755102041
2022-10-24,West Ham,Bournemouth,2,0,H,1,1.4081632653061225,1.2857142857142858,0.3877551020408163,0.9090909090909091,2.090909090909091,0.2727272727272727
2022-10-29,Leicester,Man City,0,1,A,0,1.66,1.66,0.34,2.7551020408163267,0.7551020408163265,0.7551020408163265
2022-10-29,Bournemouth,Tottenham,2,3,A,0,0.8333333333333334,2.0833333333333335,0.25,1.84,1.08,0.58
2022-10-29,Brentford,Wolves,1,1,D,0,1.32,1.54,0.32,0.86,1.22,0.34
2022-10-29,Brighton,Chelsea,4,1,H,1,1.163265306122449,1.183673469387755,0.32653061224489793,1.8775510204081634,0.8979591836734694,0.5510204081632653
2022-10-29,Crystal Palace,Southampton,1,0,H,1,1.2653061224489797,1.2653061224489797,0.2857142857142857,1.08,1.72,0.24
2022-10-29,Newcastle,Aston Villa,4,0,H,1,1.28,1.44,0.36,1.26,1.4,0.32
2022-10-29,Fulham,Everton,0,0,D,0,1.8333333333333333,1.8333333333333333,0.4166666666666667,1.08,1.56,0.28
2022-10-29,Liverpool,Leeds,1,2,A,0,2.36734693877551,0.7959183673469388,0.6530612244897959,1.1224489795918366,1.9795918367346939,0.22448979591836735
2022-10-30,Arsenal,Nott'm Forest,5,0,H,1,1.7551020408163265,1.2040816326530612,0.6326530612244898,0.6666666666666666,1.9166666666666667,0.16666666666666666
2022-10-30,Man United,West Ham,1,0,H,1,1.489795918367347,1.489795918367347,0.4489795918367347,1.42,1.26,0.4
2022-11-05,Leeds,Bournemouth,4,3,H,1,1.14,1.96,0.24,0.9230769230769231,2.1538461538461537,0.23076923076923078
2022-11-05,Man City,Fulham,2,1,H,1,2.72,0.74,0.76,1.6923076923076923,1.6923076923076923,0.38461538461538464
2022-11-05,Nott'm Forest,Brentford,2,2,D,0,0.6153846153846154,2.1538461538461537,0.15384615384615385,1.3137254901960784,1.5294117647058822,0.3137254901960784
2022-11-05,Wolves,Brighton,2,3,A,0,0.8627450980392157,1.2156862745098038,0.3333333333333333,1.22,1.18,0.34
2022-11-05,Everton,Leicester,0,2,A,0,1.0588235294117647,1.5294117647058822,0.27450980392156865,1.6274509803921569,1.6470588235294117,0.3333333333333333
2022-11-06,Chelsea,Arsenal,0,1,A,0,1.86,0.96,0.54,1.82,1.18,0.64
2022-11-06,Aston Villa,Man United,3,1,H,1,1.2352941176470589,1.4509803921568627,0.3137254901960784,1.48,1.46,0.46
2022-11-06,Southampton,Newcastle,1,4,A,0,1.0588235294117647,1.7058823529411764,0.23529411764705882,1.3333333333333333,1.411764705882353,0.37254901960784315
2022-11-06,West Ham,Crystal Palace,1,2,A,0,1.392156862745098,1.2549019607843137,0.39215686274509803,1.26,1.24,0.3
